id	baseline_metric	challenger_metric	status	hypothesis
179	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
180	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
181	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
182	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
183	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
184	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
185	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
186	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
187	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
188	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
189	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
190	99.87	99.91	keep	If we recategorize 1 memories from 'general', recall precision should improve
191	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
192	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
193	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
194	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
195	99.87	99.91	keep	If we recategorize 1 memories from 'general', recall precision should improve
196	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
197	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
198	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
199	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
200	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
201	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
202	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
203	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
204	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
205	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
206	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
207	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
208	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
209	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
210	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
211	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
212	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
213	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
214	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
215	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
216	99.87	99.91	keep	If we recategorize 1 memories from 'general', recall precision should improve
217	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
218	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
219	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
220	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
221	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
222	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
223	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
224	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
225	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
226	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
227	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
228	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
229	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
230	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
231	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
232	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
233	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
234	99.87	99.91	keep	If we recategorize 1 memories from 'general', recall precision should improve
235	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
236	99.87	99.91	keep	If we recategorize 1 memories from 'general', recall precision should improve
237	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
238	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
239	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
240	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
241	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
242	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
243	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
244	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
245	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
246	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
247	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
248	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
249	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
250	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
251	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
252	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
253	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
254	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
255	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
256	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
257	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
258	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
259	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
260	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
261	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
262	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
263	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
264	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
265	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
266	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
267	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
268	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
269	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
270	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
271	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
272	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
273	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
274	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
275	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
276	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
277	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
278	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
279	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
280	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
281	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
282	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
283	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
284	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
285	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
286	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
287	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
288	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
289	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
290	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
291	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
292	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
293	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
294	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
295	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
296	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
297	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
298	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
299	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
300	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
301	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
302	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
303	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
304	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
305	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
306	99.87	99.87	discard	If we no actionable improvements found — system is clean, recall precision should improve
